date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_bigmac,adj_price,USD_adjusted,EUR_adjusted,GBP_adjusted,JPY_adjusted,CNY_adjusted
4/1/2001,CAN,CAD,Canada,3.33,1.56,2.134615385,-0.04705,-0.05615,-0.24988,-0.09969,0.78531,24276.89533,2.101674877,0.08253,-0.09846,-0.27724,-0.01947,0.33159
4/1/2001,CHE,CHF,Switzerland,6.3,1.73,3.641618497,0.62572,0.6102,0.27969,0.53592,2.04572,23399.78916,2.080848979,0.86527,0.55341,0.24536,0.68952,1.29441
4/1/2001,CHL,CLP,Chile,1260,601,2.096505824,-0.06406,-0.073,-0.26327,-0.11576,0.75344,4891.308587,1.641385939,0.36136,0.13375,-0.09108,0.23309,0.67456
4/1/2001,CHN,CNY,China,9.9,8.28,1.195652174,-0.46623,-0.47132,-0.57984,-0.49571,0,1781.619071,1.567549862,-0.18704,-0.32296,-0.45722,-0.26364,0
4/1/2001,CZE,CZK,Czech Republic,56,39,1.435897436,-0.35897,-0.3651,-0.49542,-0.39438,0.20093,9286.88948,1.74575406,-0.12335,-0.26992,-0.4147,-0.20595,0.07834
4/1/2001,DNK,DKK,Denmark,24.75,8.46,2.925531915,0.30604,0.29357,0.02805,0.2339,1.44681,22531.27513,2.060227091,0.51348,0.26044,0.01049,0.37088,0.86169
4/1/2001,EUZ,EUR,Euro area,2.57,1.136363636,2.261600001,0.00964,0,-0.20526,-0.04613,0.89152,20309.25819,2.007467799,0.20075,0,-0.19831,0.08762,0.47701
4/1/2001,GBR,GBP,Britain,1.99,0.699300699,2.845700001,0.2704,0.25827,0,0.20023,1.38004,21048.76446,2.025026543,0.49777,0.24736,0,0.35665,0.84236
4/1/2001,HKG,HKD,Hong Kong,10.7,7.8,1.371794872,-0.38759,-0.39344,-0.51794,-0.42142,0.14732,41719.46805,2.515829135,-0.41884,-0.51601,-0.61198,-0.4736,-0.28513
4/1/2001,HUN,HUF,Hungary,399,303,1.316831683,-0.41213,-0.41774,-0.53726,-0.4446,0.10135,7317.716244,1.698998258,-0.17392,-0.31203,-0.44846,-0.25175,0.01614
4/1/2001,IDN,IDR,Indonesia,14700,10855,1.354214648,-0.39544,-0.40121,-0.52412,-0.42883,0.13262,1116.684297,1.551761734,-0.06986,-0.22537,-0.37898,-0.1575,0.14414
4/1/2001,JPN,JPY,Japan,294,124,2.370967742,0.05847,0.04836,-0.16682,0,0.98299,32163.76905,2.288939817,0.10402,-0.08056,-0.26289,0,0.35803
4/1/2001,KOR,KRW,South Korea,3000,1325,2.264150943,0.01078,0.00113,-0.20436,-0.04505,0.89365,10350.41826,1.771006354,0.36261,0.1348,-0.09024,0.23422,0.67611
4/1/2001,MEX,MXN,Mexico,21.9,9.29,2.35737352,0.0524,0.04235,-0.1716,-0.00573,0.97162,6930.69573,1.689808892,0.48689,0.23829,-0.00727,0.34679,0.82897
4/1/2001,MYS,MYR,Malaysia,4.52,3.8,1.189473684,-0.46898,-0.47406,-0.58201,-0.49832,-0.00517,8187.58308,1.719652267,-0.26277,-0.38603,-0.50778,-0.33224,-0.09316
4/1/2001,NZL,NZD,New Zealand,3.6,2.47,1.457489879,-0.34933,-0.35555,-0.48783,-0.38528,0.21899,19075.4424,1.978172232,-0.21471,-0.34601,-0.4757,-0.2887,-0.03404
4/1/2001,PHL,PHP,Philippines,59,50.3,1.172962227,-0.47636,-0.48136,-0.58781,-0.50528,-0.01898,1824.324225,1.568563848,-0.20298,-0.33623,-0.46786,-0.27808,-0.01961
4/1/2001,POL,PLN,Poland,5.9,4.03,1.464019851,-0.34642,-0.35266,-0.48553,-0.38252,0.22445,7400.514278,1.700964204,-0.08264,-0.23602,-0.38752,-0.16908,0.12841
4/1/2001,RUS,RUB,Russia,35,28.9,1.211072664,-0.45934,-0.46451,-0.57442,-0.48921,0.0129,3424.090112,1.606548488,-0.19654,-0.33087,-0.46356,-0.27225,-0.01169
4/1/2001,SGP,SGD,Singapore,3.3,1.81,1.82320442,-0.18607,-0.19384,-0.35931,-0.23103,0.52486,27912.71602,2.188003348,-0.11187,-0.26036,-0.40704,-0.19556,0.09246
4/1/2001,SWE,SEK,Sweden,24,10.28,2.33463035,0.04225,0.03229,-0.17959,-0.01533,0.9526,25302.94079,2.126037172,0.1704,-0.02528,-0.21857,0.06012,0.43967
4/1/2001,THA,THB,Thailand,55,45.5,1.208791209,-0.46036,-0.46552,-0.57522,-0.49017,0.01099,3279.925132,1.603125453,-0.19634,-0.33071,-0.46343,-0.27207,-0.01145
4/1/2001,TWN,TWD,Taiwan,70,32.9,2.127659574,-0.05015,-0.05922,-0.25232,-0.10262,0.7795,14836.75696,1.877529417,0.20782,0.00588,-0.19359,0.09402,0.4857
4/1/2001,USA,USD,United States,2.24,1,2.24,0,-0.00955,-0.21285,-0.05524,0.87345,36312.782,2.38745346,0,-0.16719,-0.33234,-0.09422,0.23007
4/1/2001,ZAF,ZAR,South Africa,9.7,8.13,1.193111931,-0.46736,-0.47245,-0.58073,-0.49678,-0.00212,5416.456016,1.653854974,-0.2311,-0.35965,-0.48664,-0.30355,-0.0542
4/1/2002,ARG,ARS,Argentina,2.5,3.13,0.798722045,-0.66012,-0.66388,-0.72319,-0.60369,-0.37015,7600.23464,1.859782417,-0.54859,-0.61359,-0.67615,-0.47185,-0.40983
4/1/2002,AUS,AUD,Australia,3,1.86,1.612903226,-0.31366,-0.32125,-0.44103,-0.1997,0.27189,29490.2675,2.312591127,-0.26693,-0.37248,-0.47408,-0.1423,-0.04159
4/1/2002,BRA,BRL,Brazil,3.6,2.34,1.538461538,-0.34534,-0.35258,-0.46683,-0.23664,0.21319,4874.304069,1.803394877,-0.10333,-0.23244,-0.35671,0.04911,0.1723
4/1/2002,CAN,CAD,Canada,3.33,1.57,2.121019108,-0.09744,-0.10743,-0.26494,0.05241,0.67258,26079.26826,2.242032523,-0.00565,-0.14882,-0.28663,0.1634,0.3
4/1/2002,CHE,CHF,Switzerland,6.3,1.66,3.795180723,0.61497,0.5971,0.31526,0.8831,1.99277,25073.5227,2.221228061,0.79587,0.5373,0.28839,1.10119,1.34791
4/1/2002,CHL,CLP,Chile,1400,655,2.13740458,-0.09047,-0.10053,-0.25926,0.06054,0.6855,4911.217783,1.804158459,0.24522,0.06593,-0.10665,0.45693,0.628
4/1/2002,CHN,CNY,China,10.5,8.28,1.268115942,-0.46038,-0.46635,-0.56052,-0.37078,0,1935.794595,1.742610012,-0.23512,-0.34525,-0.45126,-0.10508,0
4/1/2002,CZE,CZK,Czech Republic,56.28,34,1.655294118,-0.29562,-0.30342,-0.42634,-0.17867,0.30532,10525.06183,1.920284255,-0.09397,-0.22442,-0.34999,0.06007,0.18454
4/1/2002,DNK,DKK,Denmark,24.75,8.38,2.953460621,0.25679,0.24288,0.02355,0.46546,1.32901,24344.83829,2.206154779,0.40712,0.20452,0.0095,0.64635,0.83966
4/1/2002,EUZ,EUR,Euro area,2.67,1.123595506,2.376299999,0.01119,0,-0.17647,0.17908,0.87388,21052.85282,2.138058047,0.1682,0,-0.16191,0.36681,0.5273
4/1/2002,GBR,GBP,Britain,1.99,0.689655172,2.885500002,0.22787,0.21428,0,0.43174,1.27542,22880.19754,2.17585779,0.39388,0.19319,0,0.63086,0.82235
4/1/2002,HKG,HKD,Hong Kong,11.2,8,1.4,-0.40426,-0.41085,-0.51482,-0.30534,0.104,41187.45104,2.554554519,-0.42397,-0.5069,-0.58674,-0.32603,-0.2469
4/1/2002,HUN,HUF,Hungary,459,272,1.6875,-0.28191,-0.28986,-0.41518,-0.16269,0.33071,7729.280909,1.862451818,-0.04766,-0.18478,-0.31677,0.11426,0.24509
4/1/2002,IDN,IDR,Indonesia,16000,9430,1.696712619,-0.27799,-0.28599,-0.41199,-0.15812,0.33798,1257.099888,1.728570797,0.03171,-0.11684,-0.25983,0.20711,0.34885
4/1/2002,ISR,ILS,Israel,12,4.79,2.505219207,0.06605,0.05425,-0.13179,0.24305,0.97554,17228.47725,2.058948501,0.2789,0.09476,-0.08249,0.49633,0.67202
4/1/2002,JPN,JPY,Japan,262,130,2.015384615,-0.14239,-0.15188,-0.30155,0,0.58927,37509.35162,2.478470784,-0.14531,-0.26837,-0.38683,0,0.11742
4/1/2002,KOR,KRW,South Korea,3100,1304,2.377300613,0.01162,0.00042,-0.17612,0.17958,0.87467,11314.4586,1.93661341,0.29026,0.10448,-0.07434,0.50962,0.68687
4/1/2002,MEX,MXN,Mexico,21.9,9.28,2.359913793,0.00422,-0.0069,-0.18215,0.17095,0.86096,7577.882002,1.859320039,0.33406,0.14198,-0.04291,0.56087,0.74415
4/1/2002,MYS,MYR,Malaysia,5.04,3.8,1.326315789,-0.43561,-0.44186,-0.54035,-0.3419,0.04589,7422.27124,1.856101135,-0.24893,-0.35707,-0.46117,-0.12124,-0.01806
4/1/2002,NOR,NOK,Norway,35,8.56,4.088785047,0.73991,0.72065,0.41701,1.02879,2.2243,23319.74782,2.184950156,0.96692,0.68372,0.41111,1.30133,1.57154
4/1/2002,NZL,NZD,New Zealand,3.6,2.24,1.607142857,-0.31611,-0.32368,-0.44303,-0.20256,0.26735,21212.29654,2.141356238,-0.21114,-0.32472,-0.43405,-0.07702,0.03135
4/1/2002,PER,PEN,Peru,8.5,3.43,2.478134111,0.05453,0.04285,-0.14118,0.22961,0.95419,1876.671571,1.741387016,0.49577,0.28041,0.0731,0.75007,0.95556
4/1/2002,PHL,PHP,Philippines,65,51,1.274509804,-0.45766,-0.46366,-0.55831,-0.36761,0.00504,1850.877788,1.740853456,-0.23049,-0.34128,-0.44793,-0.09966,0.00606
4/1/2002,POL,PLN,Poland,5.9,4.04,1.46039604,-0.37855,-0.38543,-0.49388,-0.27538,0.15163,8132.910271,1.870801138,-0.1795,-0.29764,-0.41136,-0.04001,0.07271
4/1/2002,RUS,RUB,Russia,39,31.2,1.25,-0.46809,-0.47397,-0.5668,-0.37977,-0.01429,3964.390165,1.784572751,-0.26377,-0.36978,-0.47182,-0.13861,-0.03746
4/1/2002,SGP,SGD,Singapore,3.3,1.82,1.813186813,-0.22843,-0.23697,-0.37162,-0.10033,0.42983,27687.22003,2.275293988,-0.16239,-0.28299,-0.39908,-0.01999,0.09508
